epoch,query_id,num_instances,Query_Prepare_Time_sum,Query_Prepare_Time_using_cpu_sum,Query_Optimization_Time_sum,Query_Execution_Time_sum,CPU_Time_sum,GPU_Time_sum,Transfer_Time_sum,Malloc_Time_sum,Build_time_sum,Probe_time_sum,Merge_time_sum,Filter_Build_Kernel_time_CPU_sum,Filter_Kernel_time_CPU_sum,Filter_Probe_Kernel_time_CPU_sum,Filter_Probe_Aggr_Kernel_time_CPU_sum,Filter_Build_Kernel_time_GPU_sum,Filter_Kernel_time_GPU_sum,Filter_Probe_Kernel_time_GPU_sum,Filter_Probe_Aggr_Kernel_time_GPU_sum,Probe_Group_Kernel_time_CPU_sum,Probe_Group_Kernel_time_GPU_sum,Group_Kernel_time_CPU_sum,Group_Kernel_time_GPU_sum,Aggr_Kernel_time_CPU_sum,Aggr_Kernel_time_GPU_sum,Build_Kernel_time_GPU_sum,Build_Kernel_time_CPU_sum,Probe_Kernel_time_GPU_sum,Query_Prepare_Time_avg,Query_Prepare_Time_using_cpu_avg,Query_Optimization_Time_avg,Query_Execution_Time_avg,CPU_Time_avg,GPU_Time_avg,Transfer_Time_avg,Malloc_Time_avg,Build_time_avg,Probe_time_avg,Merge_time_avg,Filter_Build_Kernel_time_CPU_avg,Filter_Kernel_time_CPU_avg,Filter_Probe_Kernel_time_CPU_avg,Filter_Probe_Aggr_Kernel_time_CPU_avg,Filter_Build_Kernel_time_GPU_avg,Filter_Kernel_time_GPU_avg,Filter_Probe_Kernel_time_GPU_avg,Filter_Probe_Aggr_Kernel_time_GPU_avg,Probe_Group_Kernel_time_CPU_avg,Probe_Group_Kernel_time_GPU_avg,Group_Kernel_time_CPU_avg,Group_Kernel_time_GPU_avg,Aggr_Kernel_time_CPU_avg,Aggr_Kernel_time_GPU_avg,Build_Kernel_time_GPU_avg,Build_Kernel_time_CPU_avg,Probe_Kernel_time_GPU_avg,fraction,total,cached
11,11,2,0,0,6,33,33,0,0,0,0,33,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,16.5,16.5,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0483425,5068,245
11,12,3,0,0,9,6,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,2.0,1.3333333333333333,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0481452,5068,244
11,13,4,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0962904,5068,488
11,21,5,122,0,18,552,255,66,368,0,27,519,0,27,0,0,1,0,0,0,0,254,0,0,0,0,0,0,0,75,24.4,0.0,3.6,110.4,51.0,13.2,73.6,0.0,5.4,103.8,0.0,5.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,63.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.422293,4369,1845
11,22,5,201,0,17,417,119,78,264,22,55,351,0,55,0,0,22,0,0,0,0,97,0,0,0,0,0,0,0,95,40.2,0.0,3.4,83.4,23.8,15.6,52.8,4.4,11.0,70.2,0.0,11.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,24.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.75,0.400173,4613,1846
11,23,4,156,0,15,436,121,92,264,0,80,347,0,80,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,171,39.0,0.0,3.75,109.0,30.25,23.0,66.0,0.0,20.0,86.75,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.400173,4613,1846
11,31,3,43,0,11,386,236,29,234,0,0,384,0,0,0,0,17,0,0,0,0,219,0,0,0,0,0,0,0,29,14.333333333333334,0.0,3.6666666666666665,128.66666666666666,78.66666666666667,9.666666666666666,78.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,109.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.25474,4852,1236
11,32,3,44,0,11,193,119,26,88,0,0,191,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,26,14.666666666666666,0.0,3.6666666666666665,64.33333333333333,39.666666666666664,8.666666666666666,29.333333333333332,0.0,0.0,63.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.25474,4852,1236
11,33,4,88,0,16,149,72,52,32,0,0,144,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,52,22.0,0.0,4.0,37.25,18.0,13.0,8.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.25474,4852,1236
11,34,1,25,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.254534,4852,1235
