epoch,query_id,num_instances,Query_Prepare_Time_sum,Query_Prepare_Time_using_cpu_sum,Query_Optimization_Time_sum,Query_Execution_Time_sum,CPU_Time_sum,GPU_Time_sum,Transfer_Time_sum,Malloc_Time_sum,Build_time_sum,Probe_time_sum,Merge_time_sum,Filter_Build_Kernel_time_CPU_sum,Filter_Kernel_time_CPU_sum,Filter_Probe_Kernel_time_CPU_sum,Filter_Probe_Aggr_Kernel_time_CPU_sum,Filter_Build_Kernel_time_GPU_sum,Filter_Kernel_time_GPU_sum,Filter_Probe_Kernel_time_GPU_sum,Filter_Probe_Aggr_Kernel_time_GPU_sum,Probe_Group_Kernel_time_CPU_sum,Probe_Group_Kernel_time_GPU_sum,Group_Kernel_time_CPU_sum,Group_Kernel_time_GPU_sum,Aggr_Kernel_time_CPU_sum,Aggr_Kernel_time_GPU_sum,Build_Kernel_time_GPU_sum,Build_Kernel_time_CPU_sum,Probe_Kernel_time_GPU_sum,Query_Prepare_Time_avg,Query_Prepare_Time_using_cpu_avg,Query_Optimization_Time_avg,Query_Execution_Time_avg,CPU_Time_avg,GPU_Time_avg,Transfer_Time_avg,Malloc_Time_avg,Build_time_avg,Probe_time_avg,Merge_time_avg,Filter_Build_Kernel_time_CPU_avg,Filter_Kernel_time_CPU_avg,Filter_Probe_Kernel_time_CPU_avg,Filter_Probe_Aggr_Kernel_time_CPU_avg,Filter_Build_Kernel_time_GPU_avg,Filter_Kernel_time_GPU_avg,Filter_Probe_Kernel_time_GPU_avg,Filter_Probe_Aggr_Kernel_time_GPU_avg,Probe_Group_Kernel_time_CPU_avg,Probe_Group_Kernel_time_GPU_avg,Group_Kernel_time_CPU_avg,Group_Kernel_time_GPU_avg,Aggr_Kernel_time_CPU_avg,Aggr_Kernel_time_GPU_avg,Build_Kernel_time_GPU_avg,Build_Kernel_time_CPU_avg,Probe_Kernel_time_GPU_avg,fraction,total,cached
6,11,2,35,0,4,58,18,22,31,0,0,57,0,0,13,0,0,0,0,2,0,0,0,0,0,5,0,0,0,20,17.5,0.0,2.0,29.0,9.0,11.0,15.5,0.0,0.0,28.5,0.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,20.0,0.335043,5068,1698
6,12,4,0,9,7,12,6,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.25,1.75,3.0,1.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286898,5068,1454
6,13,2,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335043,5068,1698
6,21,6,104,0,9,217,29,120,62,0,95,115,0,0,18,0,0,0,0,4,0,0,0,0,0,10,0,95,0,48,17.333333333333332,0.0,1.5,36.166666666666664,4.833333333333333,20.0,10.333333333333334,0.0,15.833333333333334,19.166666666666668,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,47.5,0.0,16.0,0.790341,4369,3453
6,22,2,111,0,4,285,0,190,0,0,190,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,87,55.5,0.0,2.0,142.5,0.0,95.0,0.0,0.0,95.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,43.5,0.801431,4613,3697
6,23,3,78,0,5,148,2,114,0,0,95,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,95,0,45,26.0,0.0,1.6666666666666667,49.333333333333336,0.6666666666666666,38.0,0.0,0.0,31.666666666666668,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,0.0,22.5,0.801431,4613,3697
6,31,5,172,0,9,134,0,125,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,34.4,0.0,1.8,26.8,0.0,25.0,0.0,0.0,0.0,26.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,0.733924,4852,3561
6,32,8,208,0,13,149,0,140,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,26.0,0.0,1.625,18.625,0.0,17.5,0.0,0.0,0.0,17.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.733924,4852,3561
6,33,5,60,18,7,45,2,39,0,0,0,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,12.0,3.6,1.4,9.0,0.4,7.8,0.0,0.0,0.0,8.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.702803,4852,3410
6,34,6,184,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.666666666666668,0.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.652514,4852,3166
6,42,2,76,0,3,76,2,65,8,0,31,44,0,0,0,0,0,31,0,0,0,2,0,0,0,0,0,0,0,39,38.0,0.0,1.5,38.0,1.0,32.5,4.0,0.0,15.5,22.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.684354,6992,4785
6,43,5,254,0,8,33,0,12,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,50.8,0.0,1.6,6.6,0.0,2.4,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.684354,6992,4785
