epoch,query_id,num_instances,Query_Prepare_Time_sum,Query_Prepare_Time_using_cpu_sum,Query_Optimization_Time_sum,Query_Execution_Time_sum,CPU_Time_sum,GPU_Time_sum,Transfer_Time_sum,Malloc_Time_sum,Build_time_sum,Probe_time_sum,Merge_time_sum,Filter_Build_Kernel_time_CPU_sum,Filter_Kernel_time_CPU_sum,Filter_Probe_Kernel_time_CPU_sum,Filter_Probe_Aggr_Kernel_time_CPU_sum,Filter_Build_Kernel_time_GPU_sum,Filter_Kernel_time_GPU_sum,Filter_Probe_Kernel_time_GPU_sum,Filter_Probe_Aggr_Kernel_time_GPU_sum,Probe_Group_Kernel_time_CPU_sum,Probe_Group_Kernel_time_GPU_sum,Group_Kernel_time_CPU_sum,Group_Kernel_time_GPU_sum,Aggr_Kernel_time_CPU_sum,Aggr_Kernel_time_GPU_sum,Build_Kernel_time_GPU_sum,Build_Kernel_time_CPU_sum,Probe_Kernel_time_GPU_sum,Query_Prepare_Time_avg,Query_Prepare_Time_using_cpu_avg,Query_Optimization_Time_avg,Query_Execution_Time_avg,CPU_Time_avg,GPU_Time_avg,Transfer_Time_avg,Malloc_Time_avg,Build_time_avg,Probe_time_avg,Merge_time_avg,Filter_Build_Kernel_time_CPU_avg,Filter_Kernel_time_CPU_avg,Filter_Probe_Kernel_time_CPU_avg,Filter_Probe_Aggr_Kernel_time_CPU_avg,Filter_Build_Kernel_time_GPU_avg,Filter_Kernel_time_GPU_avg,Filter_Probe_Kernel_time_GPU_avg,Filter_Probe_Aggr_Kernel_time_GPU_avg,Probe_Group_Kernel_time_CPU_avg,Probe_Group_Kernel_time_GPU_avg,Group_Kernel_time_CPU_avg,Group_Kernel_time_GPU_avg,Aggr_Kernel_time_CPU_avg,Aggr_Kernel_time_GPU_avg,Build_Kernel_time_GPU_avg,Build_Kernel_time_CPU_avg,Probe_Kernel_time_GPU_avg,fraction,total,cached
8,11,5,21,16,6,130,71,6,93,0,0,128,0,0,54,0,0,0,0,6,0,0,0,0,0,15,0,0,0,0,4.2,3.2,1.2,26.0,14.2,1.2,18.6,0.0,0.0,25.6,0.0,0.0,10.8,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.335043,5068,1698
8,12,4,21,0,4,11,4,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,0.0,1.0,2.75,1.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286898,5068,1454
8,13,3,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335043,5068,1698
8,21,3,78,0,5,152,2,112,0,0,95,52,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,95,0,47,26.0,0.0,1.6666666666666667,50.666666666666664,0.6666666666666666,37.333333333333336,0.0,0.0,31.666666666666668,17.333333333333332,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,47.5,0.0,23.5,0.757382,4369,3309
8,22,2,103,0,3,133,0,98,0,0,95,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,30,51.5,0.0,1.5,66.5,0.0,49.0,0.0,0.0,47.5,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,15.0,0.801431,4613,3697
8,23,2,96,0,3,239,14,126,54,0,137,97,0,0,0,0,0,31,0,0,0,14,0,0,0,0,0,106,0,65,48.0,0.0,1.5,119.5,7.0,63.0,27.0,0.0,68.5,48.5,0.0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,32.5,0.801431,4613,3697
8,31,8,128,0,8,240,53,109,126,0,0,234,0,0,4,0,0,0,0,0,0,47,0,0,0,0,0,0,0,124,16.0,0.0,1.0,30.0,6.625,13.625,15.75,0.0,0.0,29.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,0.763603,4852,3705
8,32,1,25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.763603,4852,3705
8,33,7,153,0,9,154,7,113,32,16,0,149,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,134,21.857142857142858,0.0,1.2857142857142858,22.0,1.0,16.142857142857142,4.571428571428571,2.2857142857142856,0.0,21.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.142857142857142,0.732481,4852,3554
8,34,1,21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.682193,4852,3310
8,41,8,106,0,9,108,9,76,6,3,60,43,0,0,6,0,0,60,0,0,0,3,0,0,0,0,0,0,0,25,13.25,0.0,1.125,13.5,1.125,9.5,0.75,0.375,7.5,5.375,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.694144,6745,4682
8,42,3,86,0,4,81,2,63,6,3,60,18,0,0,0,0,0,60,0,0,0,2,0,0,0,0,0,0,0,11,28.666666666666668,0.0,1.3333333333333333,27.0,0.6666666666666666,21.0,2.0,1.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,0.684354,6992,4785
8,43,3,128,0,3,24,0,9,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,42.666666666666664,0.0,1.0,8.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,0.684354,6992,4785
