epoch,query_id,num_instances,Query_Prepare_Time_sum,Query_Prepare_Time_using_cpu_sum,Query_Optimization_Time_sum,Query_Execution_Time_sum,CPU_Time_sum,GPU_Time_sum,Transfer_Time_sum,Malloc_Time_sum,Build_time_sum,Probe_time_sum,Merge_time_sum,Filter_Build_Kernel_time_CPU_sum,Filter_Kernel_time_CPU_sum,Filter_Probe_Kernel_time_CPU_sum,Filter_Probe_Aggr_Kernel_time_CPU_sum,Filter_Build_Kernel_time_GPU_sum,Filter_Kernel_time_GPU_sum,Filter_Probe_Kernel_time_GPU_sum,Filter_Probe_Aggr_Kernel_time_GPU_sum,Probe_Group_Kernel_time_CPU_sum,Probe_Group_Kernel_time_GPU_sum,Group_Kernel_time_CPU_sum,Group_Kernel_time_GPU_sum,Aggr_Kernel_time_CPU_sum,Aggr_Kernel_time_GPU_sum,Build_Kernel_time_GPU_sum,Build_Kernel_time_CPU_sum,Probe_Kernel_time_GPU_sum,Query_Prepare_Time_avg,Query_Prepare_Time_using_cpu_avg,Query_Optimization_Time_avg,Query_Execution_Time_avg,CPU_Time_avg,GPU_Time_avg,Transfer_Time_avg,Malloc_Time_avg,Build_time_avg,Probe_time_avg,Merge_time_avg,Filter_Build_Kernel_time_CPU_avg,Filter_Kernel_time_CPU_avg,Filter_Probe_Kernel_time_CPU_avg,Filter_Probe_Aggr_Kernel_time_CPU_avg,Filter_Build_Kernel_time_GPU_avg,Filter_Kernel_time_GPU_avg,Filter_Probe_Kernel_time_GPU_avg,Filter_Probe_Aggr_Kernel_time_GPU_avg,Probe_Group_Kernel_time_CPU_avg,Probe_Group_Kernel_time_GPU_avg,Group_Kernel_time_CPU_avg,Group_Kernel_time_GPU_avg,Aggr_Kernel_time_CPU_avg,Aggr_Kernel_time_GPU_avg,Build_Kernel_time_GPU_avg,Build_Kernel_time_CPU_avg,Probe_Kernel_time_GPU_avg,fraction,total,cached
2,11,3,73,0,5,75,24,38,18,0,0,73,0,0,19,0,0,0,0,0,0,0,0,0,0,5,0,0,0,38,24.333333333333332,0.0,1.6666666666666667,25.0,8.0,12.666666666666666,6.0,0.0,0.0,24.333333333333332,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,12.666666666666666,0.306235,5068,1552
2,12,4,0,9,5,11,6,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.25,1.25,2.75,1.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25809,5068,1308
2,13,4,0,0,7,5,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.75,1.25,0.25,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306235,5068,1552
2,21,2,182,0,4,38119,36660,225,2024,0,214,37901,0,0,0,0,0,52,0,0,0,0,0,36660,0,0,0,212,0,225,91.0,0.0,2.0,19059.5,18330.0,112.5,1012.0,0.0,107.0,18950.5,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,18330.0,0.0,0.0,0.0,106.0,0.0,112.5,0.755322,4369,3300
2,22,2,74,0,4,104,25,31,18,0,43,61,0,0,19,0,0,31,0,0,0,0,0,0,0,5,0,11,0,26,37.0,0.0,2.0,52.0,12.5,15.5,9.0,0.0,21.5,30.5,0.0,0.0,19.0,0.0,0.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,11.0,0.0,13.0,0.801431,4613,3697
2,23,3,138,0,6,180,25,114,18,0,95,80,0,0,20,0,0,0,0,0,0,0,0,0,0,5,0,95,0,44,46.0,0.0,2.0,60.0,8.333333333333334,38.0,6.0,0.0,31.666666666666668,26.666666666666668,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,95.0,0.0,14.666666666666666,0.801431,4613,3697
2,31,5,101,0,8,116,16,89,18,0,0,115,0,0,9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,89,20.2,0.0,1.6,23.2,3.2,17.8,3.6,0.0,0.0,23.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,17.8,0.780091,4852,3785
2,32,8,229,18,14,78,3,64,0,0,0,68,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,28.625,2.25,1.75,9.75,0.375,8.0,0.0,0.0,0.0,8.5,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.142857142857142,0.780091,4852,3785
2,33,3,39,0,4,24,2,19,0,0,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13.0,0.0,1.3333333333333333,8.0,0.6666666666666666,6.333333333333333,0.0,0.0,0.0,7.666666666666667,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.748969,4852,3634
2,34,3,111,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0,0.0,2.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.698681,4852,3390
